,filter,size,lr,sdr_mix,sdr,sir,sar,MSE baseline,MSE ANC
0,rls,4,0.1,0.8060191584790863,1.2796491677888322,14.270910551663878,1.6843272530416813,0.0001984905232401455,0.0006591026105132757
1,rls,4,0.01,0.8060191584790863,5.71132894731211,14.508025244895094,6.508011370015726,0.0001984905232401455,0.0003093982444090002
2,rls,4,0.001,0.8060191584790863,6.735583281031273,14.125893751996319,7.866000891092498,0.0001984905232401455,0.0002560610134227603
3,rls,4,0.0001,0.8060191584790863,6.9551092925199285,12.998320082600411,8.486799928301958,0.0001984905232401455,0.00023615568437997033
4,rls,4,1e-05,0.8060191584790863,7.314175460231414,13.019834616747826,9.003986789826886,0.0001984905232401455,0.00021656274649442411
5,rls,16,0.1,0.8060191584790863,1.1172196177172522,14.71304180189873,1.4761133646532176,0.0001984905232401455,0.0007297753849450279
6,rls,16,0.01,0.8060191584790863,5.757275196346457,14.871359047677185,6.500246251752567,0.0001984905232401455,0.0003072766842795353
7,rls,16,0.001,0.8060191584790863,6.578616287746021,13.86599431098438,7.697128576705007,0.0001984905232401455,0.0002613723497180378
8,rls,16,0.0001,0.8060191584790863,7.243838497766323,13.847303796055753,8.543619567800226,0.0001984905232401455,0.00022415771496062185
9,rls,16,1e-05,0.8060191584790863,7.6071239167489235,13.607233544506592,9.185532907870861,0.0001984905232401455,0.00020554023338299174
10,rls,64,0.1,0.8060191584790863,1.8123196936386237,15.004914476697003,2.2489805102992606,0.0001984905232401455,0.000741287846775616
11,rls,64,0.01,0.8060191584790863,5.935565576943377,15.132193367586822,6.675944902105346,0.0001984905232401455,0.0002991995098544102
12,rls,64,0.001,0.8060191584790863,6.564876575020237,13.93582901100559,7.669734097760453,0.0001984905232401455,0.0002567979561931947
13,rls,64,0.0001,0.8060191584790863,7.574376821314736,14.143948448257351,8.959839549337957,0.0001984905232401455,0.00020693341160521786
14,rls,64,1e-05,0.8060191584790863,7.796946830453199,14.04274155518462,9.408299939388503,0.0001984905232401455,0.00019782398845635208
15,rls,128,0.1,0.8060191584790863,2.590725637088671,16.21091153569803,2.934796383163593,0.0001984905232401455,0.0007318998376528422
16,rls,128,0.01,0.8060191584790863,5.436928903929079,14.960906905119108,6.166670169725946,0.0001984905232401455,0.00032364001461103855
17,rls,128,0.001,0.8060191584790863,6.387771078440752,13.989669795150757,7.441245347051767,0.0001984905232401455,0.00025894622884544674
18,rls,128,0.0001,0.8060191584790863,7.795103737271239,14.70049716622809,9.3556740248717,0.0001984905232401455,0.00019688443372062607
19,rls,128,1e-05,0.8060191584790863,7.818713775385456,14.003032555430703,9.76458089858771,0.0001984905232401455,0.00019736856806511975
20,lms,4,0.1,0.8060191584790863,6.700905187096247,13.954744984556068,7.889817600189284,0.0001984905232401455,0.0002580919686485739
21,lms,4,0.01,0.8060191584790863,7.045670284497002,13.2873092877443,8.5143123909897,0.0001984905232401455,0.00023013782121387183
22,lms,4,0.001,0.8060191584790863,7.700616283408847,12.967306474553224,10.020636277976473,0.0001984905232401455,0.0001979797421132817
23,lms,4,0.0001,0.8060191584790863,7.822949174179163,13.115031883052993,10.515086166508203,0.0001984905232401455,0.00019666737347256904
24,lms,4,1e-05,0.8060191584790863,7.794148051034265,12.855356760201985,10.579974873291452,0.0001984905232401455,0.00019825785329528883
25,lms,16,0.1,0.8060191584790863,6.501600603340055,14.749735564818199,7.394390140327704,0.0001984905232401455,0.00027026696240200717
26,lms,16,0.01,0.8060191584790863,6.940869664214733,14.412571879600996,8.003644771895617,0.0001984905232401455,0.00024195383576785815
27,lms,16,0.001,0.8060191584790863,7.599002761395127,13.255043393699971,9.420697150506427,0.0001984905232401455,0.00020387326823730095
28,lms,16,0.0001,0.8060191584790863,7.813613970270758,13.252736230261165,10.395242856681222,0.0001984905232401455,0.0001962497099941852
29,lms,16,1e-05,0.8060191584790863,7.799721958406221,12.911799044026374,10.566040066724671,0.0001984905232401455,0.00019797153917013429
30,lms,64,0.1,0.8060191584790863,6.07666358041754,15.81525265286016,6.70717607641928,0.0001984905232401455,0.00029708671511388294
31,lms,64,0.01,0.8060191584790863,6.9163171230948635,15.640352894215017,7.69355720647748,0.0001984905232401455,0.0002445813049288357
32,lms,64,0.001,0.8060191584790863,7.6133824847754275,13.984544841674243,9.134499470397216,0.0001984905232401455,0.0002043609160418604
33,lms,64,0.0001,0.8060191584790863,7.7747720514052645,13.113776149120502,10.32986160444409,0.0001984905232401455,0.0001977746174031613
34,lms,64,1e-05,0.8060191584790863,7.796805017900971,12.917025786997222,10.556488237582375,0.0001984905232401455,0.0001980784842196633
35,lms,128,0.1,0.8060191584790863,5.405528373977078,16.517112646159053,5.874276344281583,0.0001984905232401455,0.0003540824003079358
36,lms,128,0.01,0.8060191584790863,6.499228105886833,15.370666161834041,7.271574015328775,0.0001984905232401455,0.0002623761109277314
37,lms,128,0.001,0.8060191584790863,7.431231678734479,14.501251625424715,8.887223260148563,0.0001984905232401455,0.00021112959320638696
38,lms,128,0.0001,0.8060191584790863,7.804151294933758,13.644348129891279,10.269591635492453,0.0001984905232401455,0.00019632362413640116
39,lms,128,1e-05,0.8060191584790863,7.799257636880183,12.956182469645695,10.551231459858863,0.0001984905232401455,0.00019785789590255886
40,rls,4,0.1,0.44478070487420407,6.85184401002485,23.10535291169229,7.011234314860195,1.7631636457700356e-05,0.0002464213536358347
41,rls,4,0.01,0.44478070487420407,12.817512093987197,23.900894251076835,13.201013058664165,1.7631636457700356e-05,3.323704552124528e-05
42,rls,4,0.001,0.44478070487420407,14.760003710411942,23.1777983000678,15.511400016255477,1.7631636457700356e-05,2.0463695274848563e-05
43,rls,4,0.0001,0.44478070487420407,15.228160915311086,23.188672043858197,16.139494408097274,1.7631636457700356e-05,1.8471420066905956e-05
44,rls,4,1e-05,0.44478070487420407,15.237530060451041,23.134297980244966,16.16785413454736,1.7631636457700356e-05,1.841329960335119e-05
45,rls,16,0.1,0.44478070487420407,7.180741076847718,21.814280550225604,7.395068717385116,1.7631636457700356e-05,0.0002650443227121643
46,rls,16,0.01,0.44478070487420407,13.057701294185446,21.95279391281369,13.714801229669234,1.7631636457700356e-05,3.117938142488985e-05
47,rls,16,0.001,0.44478070487420407,14.518123535605529,22.03628313457219,15.496686867873876,1.7631636457700356e-05,2.1398136867027657e-05
48,rls,16,0.0001,0.44478070487420407,15.189077943755105,22.702805950102455,16.15310017769526,1.7631636457700356e-05,1.8660284067485847e-05
49,rls,16,1e-05,0.44478070487420407,15.167170852247544,22.300428925218196,16.211672735753968,1.7631636457700356e-05,1.8733937074156367e-05
50,rls,64,0.1,0.44478070487420407,8.01170700253937,21.9370475556627,8.246566445048796,1.7631636457700356e-05,0.00022394114228732446
51,rls,64,0.01,0.44478070487420407,13.054634100835436,21.632066766399653,13.782559482472394,1.7631636457700356e-05,3.0639241723453295e-05
52,rls,64,0.001,0.44478070487420407,14.630054172930613,22.11967028806226,15.607613121078959,1.7631636457700356e-05,2.0916155521191805e-05
53,rls,64,0.0001,0.44478070487420407,15.151625533529355,22.13077229642539,16.239764778593013,1.7631636457700356e-05,1.877185651192478e-05
54,rls,64,1e-05,0.44478070487420407,15.125110879824135,21.813734940375504,16.28441271142968,1.7631636457700356e-05,1.8856358513528225e-05
55,rls,128,0.1,0.44478070487420407,8.160534589762932,21.17558354668185,8.43036111160681,1.7631636457700356e-05,0.0002123488204590246
56,rls,128,0.01,0.44478070487420407,13.077000530000893,21.67825113485482,13.832085472819227,1.7631636457700356e-05,3.058415125398075e-05
57,rls,128,0.001,0.44478070487420407,14.715198960018045,22.382603895983575,15.654790268577724,1.7631636457700356e-05,2.0552769887681102e-05
58,rls,128,0.0001,0.44478070487420407,15.129339529561925,21.73975045095221,16.306166151865057,1.7631636457700356e-05,1.8812947011753625e-05
59,rls,128,1e-05,0.44478070487420407,15.140216715385309,21.694231293442364,16.336901887678916,1.7631636457700356e-05,1.8743200081528402e-05
60,lms,4,0.1,0.44478070487420407,15.330575858680517,23.62788921941496,16.207011004217456,1.7631636457700356e-05,1.805908156230169e-05
61,lms,4,0.01,0.44478070487420407,15.408782447339629,23.500448062447454,16.355001409019323,1.7631636457700356e-05,1.771972679040011e-05
62,lms,4,0.001,0.44478070487420407,15.421785169259266,23.44185818091279,16.396640324208235,1.7631636457700356e-05,1.7654590819980583e-05
63,lms,4,0.0001,0.44478070487420407,15.425290697655974,23.43835141448072,16.404031370247473,1.7631636457700356e-05,1.7635354443508035e-05
64,lms,4,1e-05,0.44478070487420407,15.42588914846653,23.43762788749602,16.405095120126145,1.7631636457700356e-05,1.7632029987141198e-05
65,lms,16,0.1,0.44478070487420407,15.31698040228367,23.876022892957558,16.11867741512382,1.7631636457700356e-05,1.8282227364240908e-05
66,lms,16,0.01,0.44478070487420407,15.414877112204719,23.579337110818066,16.33659512605999,1.7631636457700356e-05,1.772616250330911e-05
67,lms,16,0.001,0.44478070487420407,15.422567270480553,23.450653966761188,16.39449397293339,1.7631636457700356e-05,1.765500169758703e-05
68,lms,16,0.0001,0.44478070487420407,15.425188558316739,23.43852705494345,16.403685251939898,1.7631636457700356e-05,1.763608808830088e-05
69,lms,16,1e-05,0.44478070487420407,15.425873924265815,23.43765891913779,16.405053539857413,1.7631636457700356e-05,1.7632127684705396e-05
70,lms,64,0.1,0.44478070487420407,15.19437271633661,24.296957546956342,15.928575781253407,1.7631636457700356e-05,1.9612895580483418e-05
71,lms,64,0.01,0.44478070487420407,15.396320806852948,23.649593832932844,16.30283503131285,1.7631636457700356e-05,1.7850537893964965e-05
72,lms,64,0.001,0.44478070487420407,15.420530478070798,23.459659053264865,16.39041800622877,1.7631636457700356e-05,1.7666986540836446e-05
73,lms,64,0.0001,0.44478070487420407,15.424784604224067,23.438870133216405,16.403111721428083,1.7631636457700356e-05,1.7638161650621423e-05
74,lms,64,1e-05,0.44478070487420407,15.425822942682622,23.4376564533718,16.40498839152348,1.7631636457700356e-05,1.763238425494409e-05
75,lms,128,0.1,0.44478070487420407,15.057231966579057,24.823094524935584,15.72057632903082,1.7631636457700356e-05,2.1412565062443414e-05
76,lms,128,0.01,0.44478070487420407,15.39314765183012,23.81136882548315,16.27861835417892,1.7631636457700356e-05,1.7949460329962713e-05
77,lms,128,0.001,0.44478070487420407,15.421706954972642,23.492641252415773,16.38733033684913,1.7631636457700356e-05,1.7667490550700354e-05
78,lms,128,0.0001,0.44478070487420407,15.425204305761724,23.442810312264548,16.403054986061747,1.7631636457700356e-05,1.763701484556876e-05
79,lms,128,1e-05,0.44478070487420407,15.42587251150539,23.438034522531105,16.40499255899514,1.7631636457700356e-05,1.763224136084318e-05
